"","Incident Date","State","City Or County","Address","Killed","Injured"
"354",2015-05-31,"Ohio","Cleveland","16209 block of Laverne Avenue",3,1
"355",2015-05-31,"Maryland","Springdale","9222 Ardwick Ardmore Road",1,3
"356",2015-05-31,"Connecticut","New Haven","849 Chapel Street",0,5
"357",2015-05-31,"Georgia","Conyers","4669 Bell Road SE",3,2
"358",2015-05-30,"California","San Diego","4200 block of Market Street",0,4
"359",2015-05-28,"Nebraska","Omaha","84th and Q",0,4
"360",2015-05-28,"Illinois","Chicago","6200 block of South Honore Street",0,5
"361",2015-05-28,"Pennsylvania","Chester","2700 block of West 3rd Street",1,3
"362",2015-05-26,"Louisiana","New Orleans","6700 Block of Tara Lane",2,2
"363",2015-05-25,"Illinois","Decatur","1816 N. Water",1,4
"364",2015-05-24,"Michigan","Flint","W. 12th Street and Hammerberg Road.",0,7
"365",2015-05-24,"Massachusetts","Brockton","1002 Main St",0,5
"366",2015-05-24,"Alabama","Montgomery","Smiley Court",1,3
